id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_region,municipality,scheduled_service,gps_code,iata_code,score
26615,VOHY,medium_airport,Begumpet Airport,17.4531002,78.46759796,1742,IN-TG,Hyderabad,0,VOHY,BPM,471
26545,VIBN,medium_airport,Lal Bahadur Shastri Airport,25.45240021,82.85929871,266,IN-UP,Varanasi,1,VIBN,VNS,1046
26610,VOCL,large_airport,Calicut International Airport,11.13679981,75.95529938,342,IN-KL,Calicut,1,VOCL,CCJ,946
26494,VEBS,medium_airport,Biju Patnaik Airport,20.24440002,85.81780243,138,IN-OR,Bhubaneswar,1,VEBS,BBI,921
26607,VOCB,medium_airport,Coimbatore International Airport,11.02999973,77.04340363,1324,IN-TN,Coimbatore,1,VOCB,CJB,921
26501,VEGT,medium_airport,Lokpriya Gopinath Bordoloi International Airport,26.10610008,91.58589935,162,IN-AS,Guwahati,1,VEGT,GAU,921
26517,VEPT,medium_airport,Lok Nayak Jayaprakash Airport,25.59129906,85.08799744,170,IN-BR,Patna,1,VEPT,PAT,1046
26446,VAID,medium_airport,Devi Ahilyabai Holkar Airport,22.72179985,75.80110168,1850,IN-MP,Indore,1,VAID,IDR,971
26562,VIJO,medium_airport,Jodhpur Airport,26.25110054,73.04889679,717,IN-RJ,Jodhpur,1,VIJO,JDH,871
26616,VOMD,medium_airport,Madurai Airport,9.83450985,78.09339905,459,IN-TN,Madurai,1,VOMD,IXM,796
